IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
120183540,NON-CRIMINAL,LOST PROPERTY,Saturday,03/03/2012 08:00 AM +0000,17:00,INGLESIDE,NONE,CORTLAND AV / MISSION ST,-122.422842376051,37.7410287442117,"37.7410287442117, -122.422842376051"
120183562,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,03/05/2012 08:00 AM +0000,11:45,PARK,"ARREST, CITED",0 Block of KEZAR DR,-122.454771112135,37.7692880076818,"37.7692880076818, -122.454771112135"
120183590,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Saturday,03/03/2012 08:00 AM +0000,23:59,INGLESIDE,NONE,800 Block of UNIVERSITY ST,-122.411131262871,37.7190622199269,"37.7190622199269, -122.411131262871"
120183625,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,03/05/2012 08:00 AM +0000,11:58,CENTRAL,PSYCHOPATHIC CASE,BATTERY ST / CLAY ST,-122.40033450691,37.7950135264428,"37.7950135264428, -122.40033450691"
120183631,NON-CRIMINAL,FOUND PROPERTY,Sunday,03/04/2012 08:00 AM +0000,00:01,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403742962696,37.7752316978114,"37.7752316978114, -122.403742962696"
120183653,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,03/05/2012 08:00 AM +0000,10:30,INGLESIDE,NONE,100 Block of ELLSWORTH ST,-122.414595563821,37.741431427792,"37.741431427792, -122.414595563821"
120183669,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,03/04/2012 08:00 AM +0000,13:00,NORTHERN,NONE,2300 Block of SACRAMENTO ST,-122.431115022254,37.7901694653549,"37.7901694653549, -122.431115022254"
120183669,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,03/04/2012 08:00 AM +0000,13:00,NORTHERN,NONE,2300 Block of SACRAMENTO ST,-122.431115022254,37.7901694653549,"37.7901694653549, -122.431115022254"
120183675,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Monday,03/05/2012 08:00 AM +0000,12:55,MISSION,NONE,16TH ST / HOFF ST,-122.420580440111,37.7649968622937,"37.7649968622937, -122.420580440111"
120183675,ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS,Monday,03/05/2012 08:00 AM +0000,12:55,MISSION,NONE,16TH ST / HOFF ST,-122.420580440111,37.7649968622937,"37.7649968622937, -122.420580440111"
120183675,ASSAULT,BATTERY,Monday,03/05/2012 08:00 AM +0000,12:55,MISSION,NONE,16TH ST / HOFF ST,-122.420580440111,37.7649968622937,"37.7649968622937, -122.420580440111"
120183700,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,03/05/2012 08:00 AM +0000,09:00,BAYVIEW,NONE,1800 Block of 25TH ST,-122.39733906511,37.7523719776525,"37.7523719776525, -122.39733906511"
120183722,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,03/05/2012 08:00 AM +0000,12:30,SOUTHERN,NONE,300 Block of 10TH ST,-122.412203741519,37.7723626269298,"37.7723626269298, -122.412203741519"
120183738,LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Sunday,03/04/2012 08:00 AM +0000,17:00,CENTRAL,NONE,200 Block of GEARY ST,-122.407449385568,37.7875698622828,"37.7875698622828, -122.407449385568"
120183744,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,03/05/2012 08:00 AM +0000,11:50,MISSION,NONE,3400 Block of 22ND ST,-122.423447094309,37.7551877256078,"37.7551877256078, -122.423447094309"
120183750,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,03/05/2012 08:00 AM +0000,11:44,BAYVIEW,NONE,1600 Block of EVANS AV,-122.389202178456,37.7434469999156,"37.7434469999156, -122.389202178456"
120183766,TRESPASS,TRESPASSING,Monday,03/05/2012 08:00 AM +0000,12:50,BAYVIEW,"ARREST, CITED",1800 Block of 25TH ST,-122.397270164276,37.7522995250914,"37.7522995250914, -122.397270164276"
120183807,TRESPASS,TRESPASSING,Sunday,03/04/2012 08:00 AM +0000,12:17,CENTRAL,NONE,0 Block of CALIFORNIA ST,-122.396334886595,37.793228416164,"37.793228416164, -122.396334886595"
120183813,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Monday,03/05/2012 08:00 AM +0000,08:01,CENTRAL,NONE,1400 Block of CALIFORNIA ST,-122.419008480104,37.7907576625223,"37.7907576625223, -122.419008480104"
120183835,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Monday,03/05/2012 08:00 AM +0000,13:00,PARK,NONE,FELL ST / MASONIC AV,-122.445904271169,37.7729953727174,"37.7729953727174, -122.445904271169"
120183904,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,03/04/2012 08:00 AM +0000,00:40,SOUTHERN,NONE,300 Block of 11TH ST,-122.413208796826,37.7711625078635,"37.7711625078635, -122.413208796826"
120183932,ASSAULT,BATTERY,Monday,03/05/2012 08:00 AM +0000,13:15,BAYVIEW,JUVENILE ADMONISHED,300 Block of GIRARD ST,-122.404879105747,37.7279530277368,"37.7279530277368, -122.404879105747"
120183976,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,03/05/2012 08:00 AM +0000,13:15,BAYVIEW,NONE,400 Block of BAY SHORE BL,-122.40685393993,37.7393801941651,"37.7393801941651, -122.40685393993"
120184015,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,03/05/2012 08:00 AM +0000,01:30,TARAVAL,PSYCHOPATHIC CASE,100 Block of FONT BL,-122.47370623066,37.7154876086057,"37.7154876086057, -122.47370623066"
120184037,WEAPON LAWS,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON,Monday,03/05/2012 08:00 AM +0000,14:33,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GROVE ST,-122.416583456133,37.7786591541508,"37.7786591541508, -122.416583456133"
120184037,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,03/05/2012 08:00 AM +0000,14:33,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GROVE ST,-122.416583456133,37.7786591541508,"37.7786591541508, -122.416583456133"
120184037,OTHER OFFENSES,PAROLE VIOLATION,Monday,03/05/2012 08:00 AM +0000,14:33,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GROVE ST,-122.416583456133,37.7786591541508,"37.7786591541508, -122.416583456133"
120184037,OTHER OFFENSES,RESISTING ARREST,Monday,03/05/2012 08:00 AM +0000,14:33,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GROVE ST,-122.416583456133,37.7786591541508,"37.7786591541508, -122.416583456133"
120184037,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,03/05/2012 08:00 AM +0000,14:33,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GROVE ST,-122.416583456133,37.7786591541508,"37.7786591541508, -122.416583456133"
120184059,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,03/05/2012 08:00 AM +0000,14:43,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.403742962696,37.7752316978114,"37.7752316978114, -122.403742962696"
120184065,LARCENY/THEFT,GRAND THEFT BICYCLE,Sunday,03/04/2012 08:00 AM +0000,17:00,MISSION,NONE,18TH ST / COLLINGWOOD ST,-122.436115302042,37.7608228396674,"37.7608228396674, -122.436115302042"
120184071,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,03/05/2012 08:00 AM +0000,11:00,SOUTHERN,NONE,800 Block of MARKET ST,-122.407036790381,37.78475328357,"37.78475328357, -122.407036790381"
120184087,BURGLARY,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",Thursday,03/01/2012 08:00 AM +0000,11:00,BAYVIEW,NONE,6100 Block of 3RD ST,-122.395577480148,37.7228575234201,"37.7228575234201, -122.395577480148"
120184093,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,03/05/2012 08:00 AM +0000,14:30,BAYVIEW,NONE,300 Block of CHANNEL ST,-122.394922215773,37.772449268095,"37.772449268095, -122.394922215773"
120184184,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,14:48,INGLESIDE,"ARREST, BOOKED",100 Block of BRAZIL AV,-122.433884551213,37.7242065828261,"37.7242065828261, -122.433884551213"
120184184,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,03/05/2012 08:00 AM +0000,14:48,INGLESIDE,"ARREST, BOOKED",100 Block of BRAZIL AV,-122.433884551213,37.7242065828261,"37.7242065828261, -122.433884551213"
120184190,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,03/04/2012 08:00 AM +0000,15:28,TARAVAL,PSYCHOPATHIC CASE,2200 Block of 19TH AV,-122.475950178851,37.7454692793229,"37.7454692793229, -122.475950178851"
120184247,NON-CRIMINAL,LOST PROPERTY,Friday,03/02/2012 08:00 AM +0000,10:40,PARK,NONE,GEARY BL / DIVISADERO ST,-122.439480772242,37.7833088100846,"37.7833088100846, -122.439480772242"
120184996,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,03/05/2012 08:00 AM +0000,18:20,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411682997078,37.7811844262469,"37.7811844262469, -122.411682997078"
120184996,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,18:20,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411682997078,37.7811844262469,"37.7811844262469, -122.411682997078"
120184996,OTHER OFFENSES,PROBATION VIOLATION,Monday,03/05/2012 08:00 AM +0000,18:20,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411682997078,37.7811844262469,"37.7811844262469, -122.411682997078"
120185007,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,03/05/2012 08:00 AM +0000,18:39,SOUTHERN,NONE,0 Block of MCLEA CT,-122.408738105428,37.7721620235475,"37.7721620235475, -122.408738105428"
120185013,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,03/05/2012 08:00 AM +0000,17:10,SOUTHERN,"ARREST, BOOKED",JONES ST / MARKET ST,-122.411979487494,37.7809039696758,"37.7809039696758, -122.411979487494"
120185013,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,17:10,SOUTHERN,"ARREST, BOOKED",JONES ST / MARKET ST,-122.411979487494,37.7809039696758,"37.7809039696758, -122.411979487494"
120185035,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,03/05/2012 08:00 AM +0000,18:50,CENTRAL,"ARREST, BOOKED",100 Block of GEARY ST,-122.405226451984,37.7877758792958,"37.7877758792958, -122.405226451984"
120185035,OTHER OFFENSES,CONSPIRACY,Monday,03/05/2012 08:00 AM +0000,18:50,CENTRAL,"ARREST, BOOKED",100 Block of GEARY ST,-122.405226451984,37.7877758792958,"37.7877758792958, -122.405226451984"
120185057,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,03/05/2012 08:00 AM +0000,12:00,PARK,NONE,200 Block of CARL ST,-122.454313066411,37.765354900835,"37.765354900835, -122.454313066411"
120184275,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,03/05/2012 08:00 AM +0000,14:30,INGLESIDE,NONE,0 Block of WHITNEY ST,-122.427954516424,37.7413490724323,"37.7413490724323, -122.427954516424"
120184281,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,03/05/2012 08:00 AM +0000,15:30,PARK,NONE,0 Block of GRAYSTONE TR,-122.447313474975,37.7591322096248,"37.7591322096248, -122.447313474975"
120184300,NON-CRIMINAL,LOST PROPERTY,Sunday,03/04/2012 08:00 AM +0000,22:00,SOUTHERN,NONE,POWELL ST / MARKET ST,-122.407545855931,37.784401179486,"37.784401179486, -122.407545855931"
120184316,ASSAULT,THREATS AGAINST LIFE,Monday,03/05/2012 08:00 AM +0000,16:16,MISSION,"ARREST, BOOKED",300 Block of TREAT AV,-122.41325681445,37.7654245141252,"37.7654245141252, -122.41325681445"
120184316,TRESPASS,TRESPASSING,Monday,03/05/2012 08:00 AM +0000,16:16,MISSION,"ARREST, BOOKED",300 Block of TREAT AV,-122.41325681445,37.7654245141252,"37.7654245141252, -122.41325681445"
120184322,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,03/05/2012 08:00 AM +0000,16:10,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.430908286149,37.7828933039182,"37.7828933039182, -122.430908286149"
120184338,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,03/05/2012 08:00 AM +0000,15:40,NORTHERN,NONE,1100 Block of FRANKLIN ST,-122.423048317909,37.7853559871047,"37.7853559871047, -122.423048317909"
120184344,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,16:45,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066,37.7691662978052,"37.7691662978052, -122.45353456066"
120184344,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC,Monday,03/05/2012 08:00 AM +0000,16:45,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066,37.7691662978052,"37.7691662978052, -122.45353456066"
120184350,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,03/05/2012 08:00 AM +0000,14:30,CENTRAL,NONE,300 Block of POWELL ST,-122.40836773684,37.7878677815324,"37.7878677815324, -122.40836773684"
120184366,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,03/05/2012 08:00 AM +0000,14:28,TARAVAL,NONE,200 Block of WINSTON DR,-122.477448645359,37.7269570625537,"37.7269570625537, -122.477448645359"
120184366,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,03/05/2012 08:00 AM +0000,14:28,TARAVAL,NONE,200 Block of WINSTON DR,-122.477448645359,37.7269570625537,"37.7269570625537, -122.477448645359"
120184407,NON-CRIMINAL,AIDED CASE,Monday,03/05/2012 08:00 AM +0000,17:00,SOUTHERN,PSYCHOPATHIC CASE,1000 Block of MARKET ST,-122.412362053695,37.7805522777147,"37.7805522777147, -122.412362053695"
120184407,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,03/05/2012 08:00 AM +0000,17:00,SOUTHERN,PSYCHOPATHIC CASE,1000 Block of MARKET ST,-122.412362053695,37.7805522777147,"37.7805522777147, -122.412362053695"
120184413,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,03/05/2012 08:00 AM +0000,17:00,MISSION,PSYCHOPATHIC CASE,900 Block of POTRERO AV,-122.406662657485,37.7568815847062,"37.7568815847062, -122.406662657485"
120184429,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,17:00,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066,37.7691662978052,"37.7691662978052, -122.45353456066"
120184457,BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",Monday,03/05/2012 08:00 AM +0000,07:30,CENTRAL,NONE,1100 Block of GREENWICH ST,-122.41796629036,37.8011358196481,"37.8011358196481, -122.41796629036"
120184485,NON-CRIMINAL,COURTESY REPORT,Monday,03/05/2012 08:00 AM +0000,16:15,INGLESIDE,LOCATED,300 Block of ALLISON ST,-122.441003351749,37.7108056431842,"37.7108056431842, -122.441003351749"
120184485,MISSING PERSON,FOUND PERSON,Monday,03/05/2012 08:00 AM +0000,16:15,INGLESIDE,LOCATED,300 Block of ALLISON ST,-122.441003351749,37.7108056431842,"37.7108056431842, -122.441003351749"
120184491,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,03/05/2012 08:00 AM +0000,16:42,PARK,NONE,HAIGHT ST / COLE ST,-122.450709919144,37.7695262270693,"37.7695262270693, -122.450709919144"
120184504,MISSING PERSON,MISSING ADULT,Monday,03/05/2012 08:00 AM +0000,13:08,RICHMOND,NONE,3600 Block of CALIFORNIA ST,-122.4550548581,37.786241438661,"37.786241438661, -122.4550548581"
120184504,MISSING PERSON,FOUND PERSON,Monday,03/05/2012 08:00 AM +0000,13:08,RICHMOND,NONE,3600 Block of CALIFORNIA ST,-122.4550548581,37.786241438661,"37.786241438661, -122.4550548581"
120184510,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,03/05/2012 08:00 AM +0000,17:15,PARK,"ARREST, CITED",MARKET ST / CLAYTON ST,-122.444508537456,37.7585448010504,"37.7585448010504, -122.444508537456"
120184532,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,03/02/2012 08:00 AM +0000,19:30,CENTRAL,NONE,BUSH ST / STOCKTON ST,-122.407152172242,37.7903655795397,"37.7903655795397, -122.407152172242"
120184548,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,03/05/2012 08:00 AM +0000,17:30,BAYVIEW,"ARREST, CITED",PALOU AV / 3RD ST,-122.390971734551,37.7340152180723,"37.7340152180723, -122.390971734551"
120184582,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,17:02,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452622752318,37.7693006985175,"37.7693006985175, -122.452622752318"
120184582,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,03/05/2012 08:00 AM +0000,17:02,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452622752318,37.7693006985175,"37.7693006985175, -122.452622752318"
120184601,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Monday,03/05/2012 08:00 AM +0000,09:00,PARK,NONE,1100 Block of PAGE ST,-122.438991841735,37.771867136197,"37.771867136197, -122.438991841735"
120184639,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Monday,03/05/2012 08:00 AM +0000,17:38,SOUTHERN,"ARREST, CITED",1100 Block of MARKET ST,-122.41345722051,37.7797859841923,"37.7797859841923, -122.41345722051"
120184645,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,03/01/2012 08:00 AM +0000,21:00,NORTHERN,NONE,1700 Block of VANNESS AV,-122.422734412436,37.7916713569451,"37.7916713569451, -122.422734412436"
120184651,ASSAULT,THREATS AGAINST LIFE,Sunday,03/04/2012 08:00 AM +0000,14:30,INGLESIDE,NONE,0 Block of OCEAN AV,-122.435774451182,37.7238319934312,"37.7238319934312, -122.435774451182"
120184689,WARRANTS,WARRANT ARREST,Monday,03/05/2012 08:00 AM +0000,17:12,SOUTHERN,"ARREST, BOOKED",1600 Block of MARKET ST,-122.421812918747,37.7730926397092,"37.7730926397092, -122.421812918747"
120184695,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,03/05/2012 08:00 AM +0000,17:55,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.403742962696,37.7752316978114,"37.7752316978114, -122.403742962696"
120184708,NON-CRIMINAL,AIDED CASE,Monday,03/05/2012 08:00 AM +0000,16:46,SOUTHERN,NONE,0 Block of MARKET ST,-122.394024321953,37.7950762776838,"37.7950762776838, -122.394024321953"
120184714,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,03/05/2012 08:00 AM +0000,17:58,PARK,"ARREST, BOOKED",STANYAN ST / WALLER ST,-122.453354647469,37.7682463076665,"37.7682463076665, -122.453354647469"
120184714,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,17:58,PARK,"ARREST, BOOKED",STANYAN ST / WALLER ST,-122.453354647469,37.7682463076665,"37.7682463076665, -122.453354647469"
120184720,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,03/05/2012 08:00 AM +0000,14:00,PARK,NONE,1600 Block of TURK ST,-122.43640332839,37.779841719155,"37.779841719155, -122.43640332839"
120184736,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,03/05/2012 08:00 AM +0000,17:50,PARK,"ARREST, BOOKED",STANYAN ST / HAIGHT ST,-122.45353456066,37.7691662978052,"37.7691662978052, -122.45353456066"
120184736,OTHER OFFENSES,PROBATION VIOLATION,Monday,03/05/2012 08:00 AM +0000,17:50,PARK,"ARREST, BOOKED",STANYAN ST / HAIGHT ST,-122.45353456066,37.7691662978052,"37.7691662978052, -122.45353456066"
